City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,San Roque,ES,36.2107,-5.3842,68.0,56,20,3.44,few clouds
292,Berdigestyakh,RU,62.0989,126.6992,5.11,98,100,3.02,overcast clouds
293,Naantali,FI,60.4674,22.0243,44.6,49,0,2.3,clear sky
294,Bima,ID,-8.4667,118.7167,74.05,93,99,3.98,overcast clouds
295,Dabat,ET,12.9842,37.765,61.34,43,84,7.11,broken clouds
296,Victor Harbor,AU,-35.5667,138.6167,59.0,82,24,9.51,few clouds
297,Broome,US,42.2506,-75.833,55.4,47,90,11.5,overcast clouds
298,Kaltan,RU,53.5347,87.2457,47.32,61,100,16.55,light rain
299,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.95,83,93,6.62,overcast clouds
300,Davila,PH,18.4726,120.5763,75.29,77,100,27.22,overcast clouds
301,Kurmanayevka,RU,52.5093,52.0675,49.86,56,100,13.2,overcast clouds
302,Pahrump,US,36.2083,-115.9839,73.99,7,0,5.01,clear sky
303,Xining,CN,36.6167,101.7667,46.2,55,100,8.63,overcast clouds
304,Khandyga,RU,62.6667,135.6,19.87,91,100,4.9,overcast clouds
305,Coihaique,CL,-45.5752,-72.0662,55.4,82,75,4.61,light rain
306,Baykit,RU,61.67,96.37,22.51,96,100,4.68,overcast clouds
307,Nizhniy Tsasuchey,RU,50.5167,115.1333,27.25,43,6,5.66,clear sky
308,Lodja,CD,-3.4833,23.4333,71.49,97,100,3.11,overcast clouds
309,Santa Marinella,IT,42.0345,11.8536,39.99,93,98,3.15,overcast clouds
310,Fairbanks,US,64.8378,-147.7164,51.8,37,1,3.44,clear sky
311,Sambava,MG,-14.2667,50.1667,75.92,89,100,14.12,light rain
312,Faanui,PF,-16.4833,-151.75,82.36,69,12,13.6,few clouds
313,Marawi,PH,7.9986,124.2928,73.0,88,97,5.99,overcast clouds
314,Banda Aceh,ID,5.5577,95.3222,80.26,80,81,12.24,light rain
315,Asosa,ET,10.0667,34.5333,74.17,15,27,2.64,scattered clouds
316,Laguna,US,38.421,-121.4238,86.0,12,1,9.22,clear sky
317,Vila,PT,42.0304,-8.1588,59.0,53,100,5.01,light rain
318,Nanortalik,GL,60.1432,-45.2371,28.49,55,14,13.13,few clouds
319,Dali,CN,25.7,100.1833,52.52,75,1,5.84,clear sky
320,Saurimo,AO,-9.6608,20.3916,67.41,85,100,4.38,overcast clouds
321,Grindavik,IS,63.8424,-22.4338,37.4,81,75,24.16,broken clouds
322,Marienburg,PL,54.0359,19.0266,50.0,68,82,5.82,broken clouds
323,Koungou,YT,-12.7336,45.2042,80.6,78,40,7.81,light rain
324,Huambo,AO,-12.7761,15.7392,65.53,70,100,2.68,overcast clouds
325,Kemptville,CA,45.0168,-75.641,53.6,62,99,10.36,overcast clouds
326,Dingle,PH,10.9995,122.6711,76.78,76,100,3.04,overcast clouds
327,Cahul,MD,45.9075,28.1944,47.1,85,100,2.33,overcast clouds
328,Eskil,TR,38.4017,33.4131,60.64,62,100,10.85,overcast clouds
329,Afua,BR,-0.1567,-50.3867,73.6,96,100,4.41,overcast clouds
330,Karratha,AU,-20.7377,116.8463,78.69,67,0,6.55,clear sky
331,General Roca,AR,-39.0333,-67.5833,77.0,53,40,8.05,scattered clouds
332,Harper,LR,4.375,-7.7169,80.74,76,97,7.81,overcast clouds
333,Nanyamba,TZ,-10.6833,39.8333,75.2,83,75,16.11,broken clouds
334,Fukue,JP,32.6881,128.8419,56.8,51,0,15.55,clear sky
335,Murska Sobota,SI,46.6625,16.1664,44.01,75,100,0.45,overcast clouds
336,Georgetown,MY,5.4112,100.3354,82.0,89,20,4.7,few clouds
337,Alamosa,US,37.4695,-105.87,39.2,48,1,4.61,clear sky
338,Mareeba,AU,-17.0,145.4333,75.2,94,75,11.5,broken clouds
339,Caravelas,BR,-17.7125,-39.2481,78.53,77,5,6.64,clear sky
340,Balabac,PH,7.9868,117.0645,81.7,71,100,16.6,overcast clouds
341,Lorengau,PG,-2.0226,147.2712,80.53,83,100,8.95,overcast clouds
342,Genhe,CN,50.7833,121.5167,26.15,69,4,8.39,clear sky
343,Samana,DO,19.2056,-69.3369,89.6,66,20,9.15,few clouds
344,Sistranda,NO,63.7256,8.834,48.2,61,0,6.91,clear sky
345,Nizhniy Kuranakh,RU,58.8353,125.4869,17.91,94,100,7.99,light snow
